,company,degree,betweenness,closeness,eigenvector
73,gadu gadu,0.017857142857142856,0.0,4.907011734136223,0.00986065711907748
74,godaddy,0.040178571428571425,0.0,4.09919936495644,0.06615896126367454
75,google,0.03571428571428571,0.0,5.555233492659225,0.08279910264424398
76,gopro,0.03125,0.0,5.685054962467624,0.02341541185378997
77,griddynamics,0.05803571428571428,0.0,5.127890467009559,0.07254914826834392
78,gs lab,0.026785714285714284,0.0,4.33508844863549,0.026472276642056952
79,hcl,0.06696428571428571,0.0,6.0866990740803955,0.04369595703974922
80,hike messenger,0.02232142857142857,0.0,3.4061311525203353,0.027246410168659835
81,hiro-tan,0.049107142857142856,0.00024023062139654066,4.397172813864521,0.04836852102953929
82,hitachi,0.03571428571428571,0.0,4.223317208891679,0.047300777272388
83,hortonworks,0.7410714285714285,0.258026705637412,6.880664375158029,0.3854219464727009
84,hp,0.06696428571428571,0.009008648302370276,5.810101877393376,0.02311838805449911
85,huawei,0.3169642857142857,0.13378176382660686,6.653652334398317,0.17134582351770491
86,hubspot,0.03571428571428571,0.0,5.471142745334133,0.02666849834170687
87,hututa,0.013392857142857142,0.0,3.3235069070303793,0.010273045655694573
88,hybris software,0.02232142857142857,0.0,1.9642530822740045,0.05702758597427873
89,ibm,0.12053571428571427,0.021300448430493273,6.120836135657257,0.07675834907775668
90,iktek,0.013392857142857142,0.0,2.8340959682900104,0.012913495704871327
91,infolinks,0.02232142857142857,0.0,4.217709798835348,0.02633340563831768
92,infosys,0.049107142857142856,0.024546231048473203,6.535164131295705,0.01421856623975239
93,inmobi,0.05803571428571428,0.0,4.971147975954522,0.07827824226229982
94,intel,0.3214285714285714,0.08414077514413838,6.367302137372875,0.16482971200175633
95,intuit,0.026785714285714284,0.0,3.5967002859191517,0.050479045324892925
96,iponweb,0.008928571428571428,0.0,0.0,3.487220945617562e-26
97,iqiyi,0.09375,0.015174567584881485,6.15669704401523,0.07335145080053956
98,irisnote,0.017857142857142856,0.0,3.1018944642595603,0.03779000068714981
99,isilon,0.013392857142857142,0.0,2.661113864224557,0.015417192877014442
100,ivy comptech,0.013392857142857142,0.0,2.335000426821342,0.017945048594132595
101,jd power,0.026785714285714284,0.0,4.986523608258256,0.03302984467858116
102,johnson controls,0.013392857142857142,0.0,2.4481964643111964,0.00871756142799354
103,keedio,0.013392857142857142,0.0,1.4065110434518886,0.04018011454293269
104,kemper,0.049107142857142856,0.0,4.824335551236753,0.05325340047521304
105,kt,0.03571428571428571,0.22855808242579542,6.907197618966819,0.0022831882795509672
106,letv,0.11160714285714285,0.043611867392696985,6.3953625821496285,0.03639336137346152
107,liberty mutual insurance,0.026785714285714284,0.0,5.297870113237232,0.027875386673034658
108,linaro,0.02232142857142857,0.0,1.8579440353632648,0.04218425499325193
109,lingochamp,0.017857142857142856,0.0,2.9270709577519702,0.018153143055092143
110,linkedin,0.16517857142857142,0.006806534272901985,5.538436464075271,0.08397533875095943
