,organization,organizationId,issueId,totNbrOfComments,nbrOfComments
158,a9,208.0,2842.0,22.0,9.0
159,a9,208.0,2843.0,11.0,2.0
160,a9,208.0,2847.0,19.0,1.0
161,a9,208.0,2853.0,8.0,2.0
162,a9,208.0,2986.0,18.0,1.0
163,a9,208.0,3018.0,3.0,1.0
164,a9,208.0,3042.0,70.0,1.0
165,a9,208.0,3113.0,19.0,1.0
166,a9,208.0,3156.0,4.0,1.0
167,a9,208.0,3219.0,41.0,4.0
168,a9,208.0,3308.0,5.0,1.0
169,a9,208.0,3329.0,22.0,1.0
170,a9,208.0,3440.0,26.0,4.0
171,a9,208.0,3486.0,10.0,5.0
172,a9,208.0,3488.0,21.0,2.0
173,a9,208.0,3533.0,3.0,1.0
174,a9,208.0,3554.0,5.0,1.0
175,a9,208.0,3555.0,13.0,1.0
176,a9,208.0,3579.0,44.0,2.0
177,a9,208.0,3587.0,3.0,1.0
178,a9,208.0,3607.0,25.0,2.0
179,a9,208.0,3639.0,5.0,1.0
180,a9,208.0,3890.0,33.0,5.0
181,a9,208.0,3982.0,5.0,2.0
182,a9,208.0,10212.0,41.0,1.0
183,a9,208.0,10230.0,3.0,2.0
184,a9,208.0,10232.0,11.0,1.0
185,a9,208.0,10248.0,5.0,1.0
186,a9,208.0,10252.0,9.0,1.0
187,a9,208.0,10267.0,4.0,1.0
188,a9,208.0,10297.0,45.0,6.0
189,a9,208.0,10301.0,2.0,1.0
190,a9,208.0,10311.0,9.0,3.0
191,a9,208.0,10330.0,2.0,1.0
192,a9,208.0,10335.0,1.0,1.0
193,a9,208.0,10336.0,11.0,5.0
194,a9,208.0,10340.0,16.0,4.0
195,a9,208.0,10349.0,6.0,2.0
196,a9,208.0,10350.0,28.0,6.0
197,a9,208.0,10375.0,68.0,2.0
198,a9,208.0,10376.0,4.0,1.0
199,a9,208.0,10377.0,3.0,1.0
200,a9,208.0,10381.0,6.0,1.0
201,a9,208.0,10385.0,6.0,1.0
202,a9,208.0,10390.0,14.0,4.0
203,a9,208.0,10415.0,3.0,2.0
204,a9,208.0,10418.0,3.0,1.0
205,a9,208.0,10420.0,4.0,2.0
206,a9,208.0,10436.0,10.0,1.0
207,a9,208.0,10439.0,3.0,1.0
208,a9,208.0,10465.0,6.0,2.0
209,a9,208.0,10481.0,6.0,1.0
210,a9,208.0,10521.0,5.0,1.0
211,a9,208.0,10528.0,8.0,1.0
212,a9,208.0,10583.0,5.0,2.0
213,a9,208.0,10601.0,55.0,6.0
214,a9,208.0,10617.0,5.0,2.0
215,a9,208.0,10689.0,4.0,2.0
216,a9,208.0,10819.0,3.0,1.0
217,a9,208.0,16330.0,14.0,1.0
218,a9,208.0,16404.0,4.0,1.0
219,a9,208.0,16406.0,14.0,4.0
220,a9,208.0,16413.0,10.0,1.0
221,a9,208.0,16459.0,3.0,2.0
222,a9,208.0,16607.0,10.0,1.0
223,a9,208.0,16613.0,6.0,1.0
224,accenture,126.0,24620.0,10.0,4.0
225,adnovum,174.0,5948.0,4.0,2.0
226,adnovum,174.0,6144.0,27.0,2.0
227,adnovum,174.0,6282.0,6.0,1.0
228,adobe,186.0,8388.0,11.0,2.0
229,adobe,186.0,15247.0,1.0,1.0
230,agero,211.0,11425.0,62.0,2.0
231,alibaba,121.0,5827.0,7.0,1.0
232,alibaba,121.0,5939.0,10.0,1.0
233,alibaba,121.0,7321.0,1.0,1.0
234,alibaba,121.0,8412.0,8.0,2.0
235,alibaba,121.0,10666.0,6.0,3.0
236,alibaba,121.0,10700.0,33.0,1.0
237,alibaba,121.0,11507.0,11.0,2.0
238,alibaba,121.0,11760.0,27.0,1.0
239,alibaba,121.0,11969.0,8.0,2.0
240,alibaba,121.0,12117.0,8.0,1.0
241,alibaba,121.0,12147.0,16.0,1.0
242,alibaba,121.0,12243.0,20.0,1.0
243,alibaba,121.0,12411.0,11.0,3.0
244,alibaba,121.0,12413.0,21.0,9.0
245,alibaba,121.0,12472.0,74.0,1.0
246,alibaba,121.0,12489.0,6.0,2.0
247,alibaba,121.0,12546.0,4.0,1.0
